"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!20!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!5!0x5ced5cff","Intervention: Vaccines!15!0x4258c9ff","Intervention: Social Distancing!5!0x6079f7ff","Intervention: Testing!5!0x7d90f3ff","Health & Environment: Hospital Beds!10!0x6b0b9eff","Health & Environment: Hospital Ventilators!10!0x7e24aeff","Health & Environment: Pop Demographics!3!0x933fbfff","Health & Environment: Air Pollution!3!0xa95ad2ff","Health & Environment: Age Distribution!3!0xc177e7ff","Health & Environment: Co-morbidities!3!0xdb95feff","Health & Environment: Health Disparities!3!0xe1a6ffff"
"0.6311844533987423","5","4","Georgia, Stewart","-84.8321,32.08","0.9272008173732424","0.8658135606248657","0.4482264598853721","0.7759","0.7473182359952325","0.575","0.46161652103929335","0.6732673267326732","0.0","0.7089659711458394","0.47904191616766467","0.5142005305328247","0.49677267168273626","0.7203746364641492"
"0.6052648661530167","8","4","Virginia, Danville City","-79.404,36.5802","0.7084768885317122","0.6572512679919219","0.702972127357475","0.8841","0.7294398092967819","1.0","0.2750486331344757","0.6138613861386139","0.0","0.6539689534213116","0.4191616766467066","0.6207997313712245","0.440853882118605","0.5868881113164246"
"0.6016049818797424","8","4","Virginia, Lynchburg City","-79.1989,37.4002","0.6729697917706978","0.6340962326942584","0.7471336276246651","0.893","0.768772348033373","1.0","0.2863129645840166","0.6831683168316831","0.0","0.5858033414057148","0.3652694610778443","0.48601108590571473","0.352508677845276","0.47689133413372886"
"0.5960122298235229","8","4","Missouri, Mississippi","-89.2951,36.8252","0.6984012081105598","0.65796447410355","0.527206439500244","0.8746","0.6221692491060786","1.0","0.3333675073075232","0.7821782178217821","0.0","0.5679525522545614","0.502994011976048","0.560557323866868","0.6440687873608092","0.6834785256331455"
"0.5855624900538168","8","4","Tennessee, Henderson","-88.386,35.6558","0.7113246881726886","0.634000537454074","0.5465725906067457","0.4308","0.6424314660309892","1.0","0.795060958834928","0.7425742574257426","0.0","0.4428342759680386","0.4131736526946108","0.5691748594129424","0.5171380096442125","0.5585149655112526"
"0.584957524909003","8","4","Virginia, Wise","-82.6241,36.9746","0.6525206828410967","0.5978196191165154","0.5669892516323992","0.9325","0.5721096543504173","1.0","0.23555975734744664","1.0","0.0","0.3657062307933953","0.39520958083832336","0.5561726637917245","0.5093977624063348","0.6283153022296543"
"0.5813699790479498","8","4","Tennessee, Hardeman","-88.9916,35.2077","0.6856539431372138","0.6176336003542605","0.5062518827277562","0.6718","0.5852205005959477","0.825","0.8539984812359491","0.7425742574257426","0.0","0.5936780485927017","0.40119760479041916","0.5691748594129424","0.5777369395054603","0.6299424555736269"
"0.5799053671277015","8","4","Texas, Brown","-98.9991,31.7743","0.7701263426690721","0.7147346505790361","0.566416731450294","0.6931","0.6400476758045291","1.0","0.3934849415965024","0.6732673267326732","0.0","0.45875563571384714","0.3173652694610779","0.6017807168377609","0.4015475057325626","0.4151695987925517"
"0.5797762830569764","8","4","Texas, Dawson","-101.9477,32.7426","0.7282966262986538","0.708601101634534","0.5249735925293944","0.8752","0.7318235995232419","0.75","0.4479505604008926","0.6336633663366337","0.0","0.527454254175536","0.25748502994011974","0.4939129750014257","0.383277159152321","0.6509418777434368"
"0.5786665041667739","8","4","Kentucky, McCreary","-84.481,36.7387","0.7669517650805392","0.7067133270156001","0.5031682366488277","0.9144","0.66984505363528","1.0","0.2191132475000308","0.5346534653465346","0.0","0.4845020966034393","0.39520958083832336","0.5117241638959221","0.6559074610382495","0.5861865036259419"
"0.5782917856891073","8","4","Nebraska, Lincoln","-100.7475,41.0466","0.7713374233415113","0.7397981860015468","0.4873486838580611","0.7491","0.7401668653158522","1.0","0.39720441697153147","0.693069306930693","0.0","0.36857570281360363","0.2095808383233533","0.5858342498966352","0.364590670879506","0.15982993795016953"
"0.5775088314518569","8","4","Louisiana, Caldwell","-92.1175,32.0903","0.7575984982541959","0.6837148159238727","0.49740085432671505","0.9589","0.6746126340882002","0.75","0.30767424642047536","0.594059405940594","0.0","0.5279505207607283","0.3712574850299401","0.579673914473061","0.5478700409974396","0.6611399568668113"
"0.577278829678782","8","4","Tennessee, Johnson","-81.8489,36.4552","0.6329794948547925","0.5653235877697109","0.5292600133833084","0.6237","0.6924910607866508","1.0","0.6286113492608884","0.8316831683168316","0.0","0.33933774946732215","0.33532934131736525","0.6527643232093532","0.45873079503090697","0.5416113432511166"
"0.5763101741575808","8","4","Kentucky, Adair","-85.2813,37.1046","0.7270221724018886","0.6675390339356743","0.5302505005339895","0.9303","0.66865315852205","1.0","0.2871569586082985","0.6039603960396039","0.0","0.3349595052604667","0.44311377245508987","0.5712984652022484","0.5558517883973924","0.5260056891627227"
"0.5748033650385973","8","4","Missouri, St. Francois","-90.476,37.8121","0.6836304291799095","0.6229609329259465","0.5974944279754254","0.9112","0.6185935637663885","1.0","0.16846978488261072","0.8118811881188118","0.0","0.41924264371473485","0.43712574850299407","0.5310891329236117","0.45218594700738446","0.46766143244479585"
"0.5742332406996403","8","4","Alabama, Calhoun","-85.8263,33.7748","0.6609117158038068","0.5995555472041174","0.6179997020686236","0.6492","0.5792610250297975","1.0","0.31545651039651007","0.8316831683168316","0.0","0.5817020624544216","0.5269461077844312","0.5539608364828539","0.5430519957701405","0.5271007930359048"
